,region,category,mode,powertrain,year,percent of vehicles
1,Australia,Historical,Cars,EV,2011,0.00650000013411
6,Australia,Historical,Cars,EV,2012,0.029999999329448
13,Australia,Historical,Cars,EV,2013,0.034000001847744
18,Australia,Historical,Cars,EV,2014,0.159999996423721
25,Australia,Historical,Cars,EV,2015,0.200000002980232
30,Australia,Historical,Cars,EV,2016,0.150000005960464
37,Australia,Historical,Cars,EV,2017,0.259999990463257
46,Australia,Historical,Cars,EV,2018,0.419999986886978
53,Australia,Historical,Cars,EV,2019,1.20000004768372
60,Australia,Historical,Cars,EV,2020,1.10000002384186
68,Australia,Historical,Cars,EV,2021,2.79999995231628
77,Australia,Historical,Cars,EV,2022,5.09999990463257
90,Australia,Historical,Cars,EV,2023,12.0
106,Austria,Historical,Cars,EV,2013,0.200000002980232
119,Austria,Historical,Cars,EV,2014,0.569999992847443
122,Austria,Historical,Cars,EV,2015,0.899999976158142
138,Austria,Historical,Cars,EV,2016,1.5
141,Austria,Historical,Cars,EV,2017,2.0
158,Austria,Historical,Cars,EV,2018,2.59999990463257
161,Austria,Historical,Cars,EV,2019,3.5
178,Austria,Historical,Cars,EV,2020,9.5
181,Austria,Historical,Cars,EV,2021,20.0
198,Austria,Historical,Cars,EV,2022,22.0
201,Austria,Historical,Cars,EV,2023,26.0
216,Belgium,Historical,Cars,EV,2010,0.009999999776483
221,Belgium,Historical,Vans,EV,2010,0.013000000268221
227,Belgium,Historical,Trucks,EV,2011,0.009800000116229
229,Belgium,Historical,Vans,EV,2011,0.039000000804663
235,Belgium,Historical,Cars,EV,2011,0.052000001072884
248,Belgium,Historical,Cars,EV,2012,0.189999997615814
253,Belgium,Historical,Vans,EV,2012,0.46000000834465
260,Belgium,Historical,Vans,EV,2013,0.189999997615814
267,Belgium,Historical,Cars,EV,2013,0.119999997317791
281,Belgium,Historical,Cars,EV,2014,0.409999996423721
290,Belgium,Historical,Vans,EV,2014,0.180000007152557
292,Belgium,Historical,Buses,EV,2014,0.259999990463257
294,Belgium,Historical,Trucks,EV,2014,0.013000000268221
299,Belgium,Historical,Vans,EV,2015,0.109999999403954
307,Belgium,Historical,Cars,EV,2015,0.769999980926514
323,Belgium,Historical,Cars,EV,2016,1.70000004768372
332,Belgium,Historical,Vans,EV,2016,0.209999993443489
335,Belgium,Historical,Trucks,EV,2016,0.009999999776483
340,Belgium,Historical,Vans,EV,2017,0.170000001788139
342,Belgium,Historical,Buses,EV,2017,0.230000004172325
349,Belgium,Historical,Cars,EV,2017,2.59999990463257
370,Belgium,Historical,Cars,EV,2018,2.40000009536743
378,Belgium,Historical,Buses,EV,2018,1.39999997615814
380,Belgium,Historical,Vans,EV,2018,0.340000003576279
383,Belgium,Historical,Trucks,EV,2018,0.008799999952316
387,Belgium,Historical,Vans,EV,2019,0.490000009536743
389,Belgium,Historical,Buses,EV,2019,3.70000004768372
396,Belgium,Historical,Cars,EV,2019,3.20000004768372
422,Belgium,Historical,Cars,EV,2020,11.0
430,Belgium,Historical,Buses,EV,2020,7.0
432,Belgium,Historical,Vans,EV,2020,0.699999988079071
434,Belgium,Historical,Trucks,EV,2020,0.079000003635883
437,Belgium,Historical,Trucks,EV,2021,0.059999998658896
439,Belgium,Historical,Vans,EV,2021,0.879999995231628
441,Belgium,Historical,Buses,EV,2021,26.0
449,Belgium,Historical,Cars,EV,2021,18.0
478,Belgium,Historical,Cars,EV,2022,26.0
486,Belgium,Historical,Buses,EV,2022,11.0
488,Belgium,Historical,Vans,EV,2022,3.40000009536743
490,Belgium,Historical,Trucks,EV,2022,0.360000014305115
493,Belgium,Historical,Trucks,EV,2023,1.70000004768372
495,Belgium,Historical,Vans,EV,2023,4.59999990463257
497,Belgium,Historical,Buses,EV,2023,62.0
507,Belgium,Historical,Cars,EV,2023,41.0
521,Brazil,Historical,Cars,EV,2010,0.00034999998752
522,Brazil,Historical,Cars,EV,2011,0.000280000007479
526,Brazil,Historical,Cars,EV,2012,0.001300000003539
527,Brazil,Historical,Cars,EV,2013,0.002400000113994
528,Brazil,Historical,Buses,EV,2013,0.00760000012815
529,Brazil,Historical,Vans,EV,2013,0.001399999950081
537,Brazil,Historical,Vans,EV,2014,0.002600000007078
538,Brazil,Historical,Cars,EV,2014,0.002199999988079
541,Brazil,Historical,Cars,EV,2015,0.004199999850243
542,Brazil,Historical,Vans,EV,2015,0.00089999998454
557,Brazil,Historical,Vans,EV,2016,0.002099999925122
558,Brazil,Historical,Cars,EV,2016,0.010999999940395
561,Brazil,Historical,Cars,EV,2017,0.023000000044704
562,Brazil,Historical,Vans,EV,2017,0.006000000052154
564,Brazil,Historical,Buses,EV,2017,0.009800000116229
582,Brazil,Historical,Buses,EV,2018,0.050000000745058
584,Brazil,Historical,Vans,EV,2018,0.001399999950081
586,Brazil,Historical,Cars,EV,2018,0.019999999552965
589,Brazil,Historical,Trucks,EV,2018,0.052999999374151
594,Brazil,Historical,Trucks,EV,2019,0.023000000044704
597,Brazil,Historical,Cars,EV,2019,0.086000002920628
599,Brazil,Historical,Vans,EV,2019,0.003700000001118
601,Brazil,Historical,Buses,EV,2019,0.068999998271465
624,Brazil,Historical,Buses,EV,2020,0.109999999403954
626,Brazil,Historical,Vans,EV,2020,0.01799999922514
628,Brazil,Historical,Cars,EV,2020,0.159999996423721
631,Brazil,Historical,Trucks,EV,2020,0.017000000923872
636,Brazil,Historical,Trucks,EV,2021,0.230000004172325
639,Brazil,Historical,Cars,EV,2021,0.899999976158142
641,Brazil,Historical,Vans,EV,2021,0.035999998450279
643,Brazil,Historical,Buses,EV,2021,0.730000019073486
671,Brazil,Historical,Buses,EV,2022,1.70000004768372
673,Brazil,Historical,Vans,EV,2022,0.129999995231628
675,Brazil,Historical,Cars,EV,2022,1.20000004768372
678,Brazil,Historical,Trucks,EV,2022,0.550000011920929
683,Brazil,Historical,Trucks,EV,2023,0.560000002384186
686,Brazil,Historical,Cars,EV,2023,3.0
688,Brazil,Historical,Vans,EV,2023,0.159999996423721
690,Brazil,Historical,Buses,EV,2023,0.5
703,Bulgaria,Historical,Cars,EV,2015,0.090000003576279
707,Bulgaria,Historical,Cars,EV,2016,0.050000000745058
708,Bulgaria,Historical,Cars,EV,2017,0.340000003576279
713,Bulgaria,Historical,Cars,EV,2018,0.639999985694885
714,Bulgaria,Historical,Cars,EV,2019,0.670000016689301
721,Bulgaria,Historical,Cars,EV,2021,2.20000004768372
722,Bulgaria,Historical,Cars,EV,2022,4.0
727,Bulgaria,Historical,Cars,EV,2023,5.80000019073486
728,Canada,Historical,Trucks,EV,2010,0.00109999999404
735,Canada,Historical,Cars,EV,2011,0.041000001132488
741,Canada,Historical,Trucks,EV,2011,0.00179999996908
742,Canada,Historical,Trucks,EV,2012,0.002700000070035
748,Canada,Historical,Cars,EV,2012,0.140000000596046
761,Canada,Historical,Cars,EV,2013,0.219999998807907
767,Canada,Historical,Trucks,EV,2013,0.007400000002235
768,Canada,Historical,Trucks,EV,2014,0.004900000058115
774,Canada,Historical,Cars,EV,2014,0.349999994039536
787,Canada,Historical,Cars,EV,2015,0.449999988079071
790,Canada,Historical,Vans,EV,2015,0.002400000113994
801,Canada,Historical,Trucks,EV,2015,0.007499999832362
810,Canada,Historical,Buses,EV,2016,0.119999997317791
813,Canada,Historical,Cars,EV,2016,0.759999990463257
824,Canada,Historical,Cars,EV,2017,1.0
827,Canada,Historical,Buses,EV,2017,0.25
844,Canada,Historical,Buses,EV,2018,0.439999997615814
848,Canada,Historical,Cars,EV,2018,2.79999995231628
856,Canada,Historical,Trucks,EV,2018,0.005599999800324
863,Canada,Historical,Cars,EV,2019,3.40000009536743
868,Canada,Historical,Buses,EV,2019,1.20000004768372
885,Canada,Historical,Buses,EV,2020,2.29999995231628
889,Canada,Historical,Cars,EV,2020,4.19999980926514
890,Canada,Historical,Vans,EV,2020,1.39999997615814
906,Canada,Historical,Vans,EV,2021,1.79999995231628
907,Canada,Historical,Cars,EV,2021,6.40000009536743
911,Canada,Historical,Buses,EV,2021,6.0
920,Canada,Historical,Trucks,EV,2021,0.020999999716878
921,Canada,Historical,Trucks,EV,2022,0.600000023841858
930,Canada,Historical,Buses,EV,2022,6.09999990463257
934,Canada,Historical,Cars,EV,2022,9.5
935,Canada,Historical,Vans,EV,2022,5.09999990463257
953,Canada,Historical,Vans,EV,2023,5.5
954,Canada,Historical,Cars,EV,2023,13.0
958,Canada,Historical,Buses,EV,2023,23.0
967,Canada,Historical,Trucks,EV,2023,1.29999995231628
968,Chile,Historical,Cars,EV,2011,0.002400000113994
979,Chile,Historical,Cars,EV,2012,0.002000000094995
980,Chile,Historical,Cars,EV,2013,0.001900000032038
993,Chile,Historical,Cars,EV,2014,0.007100000046194
994,Chile,Historical,Cars,EV,2015,0.017000000923872
1009,Chile,Historical,Cars,EV,2016,0.013000000268221
1010,Chile,Historical,Cars,EV,2017,0.061000000685454
1025,Chile,Historical,Cars,EV,2018,0.070000000298023
1026,Chile,Historical,Cars,EV,2019,0.140000000596046
1041,Chile,Historical,Cars,EV,2020,0.159999996423721
1042,Chile,Historical,Cars,EV,2021,0.189999997615814
1061,Chile,Historical,Cars,EV,2022,0.5
1062,Chile,Historical,Cars,EV,2023,0.310000002384186
1079,China,Historical,Buses,EV,2010,0.189999997615814
1085,China,Historical,Vans,EV,2010,0.009999999776483
1087,China,Historical,Cars,EV,2010,0.009999999776483
1104,China,Historical,Cars,EV,2011,0.034000001847744
1106,China,Historical,Vans,EV,2011,0.016000000759959
1108,China,Historical,Buses,EV,2011,0.529999971389771
1137,China,Historical,Buses,EV,2012,1.29999995231628
1139,China,Historical,Vans,EV,2012,0.072999998927116
1141,China,Historical,Cars,EV,2012,0.072999998927116
1158,China,Historical,Cars,EV,2013,0.094999998807907
1160,China,Historical,Vans,EV,2013,0.07599999755621
1162,China,Historical,Buses,EV,2013,2.59999990463257
1193,China,Historical,Buses,EV,2014,8.0
1195,China,Historical,Vans,EV,2014,0.045000001788139
1197,China,Historical,Cars,EV,2014,0.400000005960465
1216,China,Historical,Trucks,EV,2015,1.5
1217,China,Historical,Cars,EV,2015,1.0
1219,China,Historical,Vans,EV,2015,1.39999997615814
1221,China,Historical,Buses,EV,2015,38.0
1261,China,Historical,Buses,EV,2016,53.0
1263,China,Historical,Vans,EV,2016,0.879999995231628
1265,China,Historical,Cars,EV,2016,1.5
1266,China,Historical,Trucks,EV,2016,3.20000004768372
1287,China,Historical,Trucks,EV,2017,3.70000004768372
1288,China,Historical,Cars,EV,2017,2.40000009536743
1290,China,Historical,Vans,EV,2017,4.90000009536743
1292,China,Historical,Buses,EV,2017,60.0
1338,China,Historical,Buses,EV,2018,64.0
1340,China,Historical,Vans,EV,2018,3.5
1342,China,Historical,Cars,EV,2018,4.69999980926514
1343,China,Historical,Trucks,EV,2018,1.89999997615814
1364,China,Historical,Trucks,EV,2019,1.20000004768372
1365,China,Historical,Cars,EV,2019,5.0
1367,China,Historical,Vans,EV,2019,1.60000002384186
1369,China,Historical,Buses,EV,2019,61.0
1404,China,Projection-APS,Buses,EV,2020,66.0
1449,China,Historical,Buses,EV,2020,66.0
1451,China,Historical,Vans,EV,2020,1.39999997615814
1453,China,Historical,Cars,EV,2020,5.69999980926514
1454,China,Historical,Trucks,EV,2020,0.610000014305115
1470,China,Projection-APS,Vans,EV,2020,1.39999997615814
1472,China,Projection-APS,Cars,EV,2020,5.69999980926514
1474,China,Projection-APS,Trucks,EV,2020,0.610000014305115
1494,China,Projection-STEPS,Buses,EV,2020,66.0
1496,China,Projection-STEPS,Vans,EV,2020,1.39999997615814
1498,China,Projection-STEPS,Cars,EV,2020,5.69999980926514
1500,China,Projection-STEPS,Trucks,EV,2020,0.610000014305115
1547,China,Projection-STEPS,Trucks,EV,2021,0.75
1549,China,Projection-STEPS,Cars,EV,2021,16.0
1551,China,Projection-STEPS,Vans,EV,2021,4.09999990463257
1553,China,Projection-STEPS,Buses,EV,2021,56.0
1562,China,Projection-APS,Trucks,EV,2021,0.75
1564,China,Projection-APS,Cars,EV,2021,16.0
1566,China,Projection-APS,Vans,EV,2021,4.09999990463257
1585,China,Historical,Trucks,EV,2021,0.75
1586,China,Historical,Cars,EV,2021,16.0
1588,China,Historical,Vans,EV,2021,4.09999990463257
1590,China,Historical,Buses,EV,2021,56.0
1651,China,Projection-APS,Buses,EV,2021,56.0
1668,China,Projection-APS,Buses,EV,2022,66.0
1734,China,Historical,Buses,EV,2022,66.0
1736,China,Historical,Vans,EV,2022,11.0
1738,China,Historical,Cars,EV,2022,29.0
1739,China,Historical,Trucks,EV,2022,3.09999990463257
1758,China,Projection-APS,Vans,EV,2022,11.0
1760,China,Projection-APS,Cars,EV,2022,29.0
1762,China,Projection-APS,Trucks,EV,2022,3.09999990463257
1766,China,Projection-STEPS,Buses,EV,2022,66.0
1768,China,Projection-STEPS,Vans,EV,2022,11.0
1770,China,Projection-STEPS,Cars,EV,2022,29.0
1772,China,Projection-STEPS,Trucks,EV,2022,3.09999990463257
1822,China,Projection-STEPS,Trucks,EV,2023,2.79999995231628
1824,China,Projection-STEPS,Cars,EV,2023,38.0
1826,China,Projection-STEPS,Vans,EV,2023,12.0
1828,China,Projection-STEPS,Buses,EV,2023,50.0
1832,China,Projection-APS,Trucks,EV,2023,2.79999995231628
1834,China,Projection-APS,Cars,EV,2023,38.0
1836,China,Projection-APS,Vans,EV,2023,12.0
1854,China,Historical,Trucks,EV,2023,2.79999995231628
1855,China,Historical,Cars,EV,2023,38.0
1857,China,Historical,Vans,EV,2023,12.0
1859,China,Historical,Buses,EV,2023,50.0
1924,China,Projection-APS,Buses,EV,2023,50.0
1937,China,Projection-APS,Buses,EV,2025,50.0
1940,China,Projection-APS,Trucks,EV,2025,8.0
2011,China,Projection-APS,Vans,EV,2025,25.0
2013,China,Projection-APS,Cars,EV,2025,49.0
2017,China,Projection-STEPS,Buses,EV,2025,50.0
2019,China,Projection-STEPS,Vans,EV,2025,25.0
2020,China,Projection-STEPS,Trucks,EV,2025,8.0
2022,China,Projection-STEPS,Cars,EV,2025,49.0
2027,China,Projection-STEPS,Cars,EV,2030,68.0
2029,China,Projection-STEPS,Trucks,EV,2030,28.0
2030,China,Projection-STEPS,Vans,EV,2030,47.0
2032,China,Projection-STEPS,Buses,EV,2030,64.0
2036,China,Projection-APS,Cars,EV,2030,68.0
2038,China,Projection-APS,Vans,EV,2030,47.0
2109,China,Projection-APS,Trucks,EV,2030,27.0
2115,China,Projection-APS,Buses,EV,2030,64.0
2117,China,Projection-APS,Buses,EV,2035,72.0
2124,China,Projection-APS,Trucks,EV,2035,46.0
2195,China,Projection-APS,Vans,EV,2035,68.0
2197,China,Projection-APS,Cars,EV,2035,85.0
2201,China,Projection-STEPS,Buses,EV,2035,72.0
2203,China,Projection-STEPS,Vans,EV,2035,68.0
2204,China,Projection-STEPS,Trucks,EV,2035,46.0
2206,China,Projection-STEPS,Cars,EV,2035,85.0
2211,Colombia,Historical,Cars,EV,2015,0.017000000923872
2212,Colombia,Historical,Cars,EV,2016,0.023000000044704
2217,Colombia,Historical,Cars,EV,2017,0.06700000166893
2218,Colombia,Historical,Cars,EV,2018,0.239999994635582
2223,Colombia,Historical,Cars,EV,2019,0.550000011920929
2224,Colombia,Historical,Cars,EV,2020,0.569999992847443
2229,Colombia,Historical,Cars,EV,2021,1.20000004768372
2230,Colombia,Historical,Cars,EV,2022,2.0
2235,Colombia,Historical,Cars,EV,2023,3.90000009536743
2237,Costa Rica,Historical,Cars,EV,2015,0.009600000455976
2240,Costa Rica,Historical,Cars,EV,2016,0.025000000372529
2243,Costa Rica,Historical,Cars,EV,2017,0.059999998658896
2246,Costa Rica,Historical,Cars,EV,2018,0.589999973773956
2249,Costa Rica,Historical,Cars,EV,2019,1.5
2252,Costa Rica,Historical,Cars,EV,2020,2.70000004768372
2255,Costa Rica,Historical,Cars,EV,2021,3.90000009536743
2258,Costa Rica,Historical,Cars,EV,2022,5.5
2261,Costa Rica,Historical,Cars,EV,2023,12.0
2263,Croatia,Historical,Cars,EV,2019,0.409999996423721
2268,Croatia,Historical,Cars,EV,2020,1.89999997615814
2269,Croatia,Historical,Cars,EV,2021,3.79999995231628
2274,Croatia,Historical,Cars,EV,2022,5.0
2275,Croatia,Historical,Cars,EV,2023,4.59999990463257
2279,Cyprus,Historical,Cars,EV,2019,0.189999997615814
2280,Cyprus,Historical,Cars,EV,2020,1.39999997615814
2285,Cyprus,Historical,Cars,EV,2021,1.70000004768372
2286,Cyprus,Historical,Cars,EV,2022,5.40000009536743
2291,Cyprus,Historical,Cars,EV,2023,8.80000019073486
2292,Czech Republic,Historical,Cars,EV,2015,0.129999995231628
2295,Czech Republic,Historical,Cars,EV,2016,0.079999998211861
2296,Czech Republic,Historical,Cars,EV,2017,0.140000000596046
2300,Czech Republic,Historical,Cars,EV,2018,0.379999995231628
2301,Czech Republic,Historical,Cars,EV,2019,0.490000009536743
2306,Czech Republic,Historical,Cars,EV,2020,2.5
2307,Czech Republic,Historical,Cars,EV,2021,3.09999990463257
2312,Czech Republic,Historical,Cars,EV,2022,3.90000009536743
2313,Czech Republic,Historical,Cars,EV,2023,5.40000009536743
2318,Denmark,Historical,Trucks,EV,2010,0.140000000596046
2319,Denmark,Historical,Vans,EV,2010,0.037000000476837
2337,Denmark,Historical,Vans,EV,2011,0.097000002861023
2339,Denmark,Historical,Buses,EV,2011,0.119999997317791
2342,Denmark,Historical,Cars,EV,2011,0.25
2343,Denmark,Historical,Cars,EV,2012,0.28999999165535
2346,Denmark,Historical,Trucks,EV,2012,0.027000000700355
2347,Denmark,Historical,Buses,EV,2012,0.129999995231628
2349,Denmark,Historical,Vans,EV,2012,0.560000002384186
2381,Denmark,Historical,Vans,EV,2013,0.439999997615814
2383,Denmark,Historical,Buses,EV,2013,0.270000010728836
2384,Denmark,Historical,Trucks,EV,2013,0.016000000759959
2387,Denmark,Historical,Cars,EV,2013,0.280000001192093
2388,Denmark,Historical,Cars,EV,2014,0.899999976158142
2393,Denmark,Historical,Vans,EV,2014,0.170000001788139
2421,Denmark,Historical,Vans,EV,2015,1.10000002384186
2426,Denmark,Historical,Cars,EV,2015,2.29999995231628
2427,Denmark,Historical,Cars,EV,2016,0.850000023841858
2432,Denmark,Historical,Vans,EV,2016,0.379999995231628
2433,Denmark,Historical,Buses,EV,2016,0.300000011920929
2464,Denmark,Historical,Vans,EV,2017,0.259999990463257
2467,Denmark,Historical,Trucks,EV,2017,0.014000000432134
2470,Denmark,Historical,Cars,EV,2017,0.600000023841858
2471,Denmark,Historical,Cars,EV,2018,2.09999990463257
2474,Denmark,Historical,Trucks,EV,2018,0.043000001460314
2477,Denmark,Historical,Vans,EV,2018,0.75
2478,Denmark,Historical,Buses,EV,2018,0.150000005960464
2514,Denmark,Historical,Buses,EV,2019,7.69999980926514
2515,Denmark,Historical,Vans,EV,2019,0.910000026226044
2518,Denmark,Historical,Trucks,EV,2019,0.043999999761582
2521,Denmark,Historical,Cars,EV,2019,4.19999980926514
2522,Denmark,Historical,Cars,EV,2020,16.0
2525,Denmark,Historical,Trucks,EV,2020,0.560000002384186
2528,Denmark,Historical,Vans,EV,2020,2.5
2529,Denmark,Historical,Buses,EV,2020,2.90000009536743
2572,Denmark,Historical,Buses,EV,2021,18.0
2573,Denmark,Historical,Vans,EV,2021,5.69999980926514
2576,Denmark,Historical,Trucks,EV,2021,0.819999992847443
2579,Denmark,Historical,Cars,EV,2021,35.0
2580,Denmark,Historical,Cars,EV,2022,39.0
2583,Denmark,Historical,Trucks,EV,2022,2.09999990463257
2586,Denmark,Historical,Vans,EV,2022,8.69999980926514
2587,Denmark,Historical,Buses,EV,2022,34.0
2627,Denmark,Historical,Buses,EV,2023,19.0
2628,Denmark,Historical,Vans,EV,2023,13.0
2631,Denmark,Historical,Trucks,EV,2023,5.5
2634,Denmark,Historical,Cars,EV,2023,46.0
2635,Estonia,Historical,Cars,EV,2015,0.159999996423721
2638,Estonia,Historical,Cars,EV,2016,0.150000005960464
2639,Estonia,Historical,Cars,EV,2017,0.180000007152557
2644,Estonia,Historical,Cars,EV,2018,0.46000000834465
2645,Estonia,Historical,Cars,EV,2019,0.360000014305115
2650,Estonia,Historical,Cars,EV,2020,1.79999995231628
2651,Estonia,Historical,Cars,EV,2021,3.20000004768372
2656,Estonia,Historical,Cars,EV,2022,5.40000009536743
2657,Estonia,Historical,Cars,EV,2023,8.80000019073486
2660,EU27,Historical,Buses,EV,2010,0.400000005960465
2676,EU27,Historical,Vans,EV,2010,0.100000001490116
2678,EU27,Historical,Cars,EV,2010,0.009999999776483
2680,EU27,Historical,Trucks,EV,2010,0.012000000104308
2688,EU27,Historical,Cars,EV,2011,0.064999997615814
2690,EU27,Historical,Vans,EV,2011,0.170000001788139
2700,EU27,Historical,Trucks,EV,2011,0.00400000018999
2706,EU27,Historical,Buses,EV,2011,0.109999999403954
2709,EU27,Historical,Buses,EV,2012,0.150000005960464
2715,EU27,Historical,Trucks,EV,2012,0.003899999894202
2726,EU27,Historical,Vans,EV,2012,0.579999983310699
2728,EU27,Historical,Cars,EV,2012,0.189999997615814
2736,EU27,Historical,Cars,EV,2013,0.469999998807907
2738,EU27,Historical,Vans,EV,2013,0.620000004768372
2750,EU27,Historical,Trucks,EV,2013,0.006200000178069
2756,EU27,Historical,Buses,EV,2013,0.219999998807907
2761,EU27,Historical,Buses,EV,2014,0.699999988079071
2767,EU27,Historical,Trucks,EV,2014,0.013000000268221
2783,EU27,Historical,Vans,EV,2014,0.589999973773956
2785,EU27,Historical,Cars,EV,2014,0.560000002384186
2792,EU27,Historical,Cars,EV,2015,1.10000002384186
2794,EU27,Historical,Vans,EV,2015,0.649999976158142
2809,EU27,Historical,Trucks,EV,2015,0.006200000178069
2815,EU27,Historical,Buses,EV,2015,0.389999985694885
2824,EU27,Historical,Buses,EV,2016,1.70000004768372
2830,EU27,Historical,Trucks,EV,2016,0.017000000923872
2846,EU27,Historical,Vans,EV,2016,0.75
2848,EU27,Historical,Cars,EV,2016,0.980000019073486
2855,EU27,Historical,Cars,EV,2017,1.29999995231628
2857,EU27,Historical,Vans,EV,2017,0.939999997615814
2873,EU27,Historical,Trucks,EV,2017,0.014000000432134
2879,EU27,Historical,Buses,EV,2017,0.939999997615814
2890,EU27,Historical,Buses,EV,2018,1.70000004768372
2896,EU27,Historical,Trucks,EV,2018,0.109999999403954
2911,EU27,Historical,Vans,EV,2018,1.29999995231628
2913,EU27,Historical,Cars,EV,2018,1.89999997615814
2920,EU27,Historical,Cars,EV,2019,2.90000009536743
2922,EU27,Historical,Vans,EV,2019,1.5
2937,EU27,Historical,Trucks,EV,2019,0.230000004172325
2943,EU27,Historical,Buses,EV,2019,4.0
2956,EU27,Historical,Buses,EV,2020,6.30000019073486
2961,EU27,Historical,Trucks,EV,2020,0.389999985694885
2976,EU27,Historical,Vans,EV,2020,2.20000004768372
2978,EU27,Historical,Cars,EV,2020,10.0
2987,EU27,Historical,Cars,EV,2021,17.0
2989,EU27,Historical,Vans,EV,2021,3.0
2991,EU27,Historical,Buses,EV,2021,10.0
3006,EU27,Historical,Trucks,EV,2021,0.479999989271164
3027,EU27,Historical,Trucks,EV,2022,0.810000002384186
3041,EU27,Historical,Buses,EV,2022,12.0
3043,EU27,Historical,Vans,EV,2022,5.09999990463257
3045,EU27,Historical,Cars,EV,2022,21.0
3054,EU27,Historical,Cars,EV,2023,22.0
3056,EU27,Historical,Vans,EV,2023,7.59999990463257
3058,EU27,Historical,Buses,EV,2023,15.0
3072,EU27,Historical,Trucks,EV,2023,2.29999995231628
3100,Europe,Historical,Vans,EV,2010,0.08500000089407
3103,Europe,Historical,Buses,EV,2010,0.189999997615814
3104,Europe,Historical,Cars,EV,2010,0.012000000104308
3108,Europe,Historical,Trucks,EV,2010,0.008600000292063
3133,Europe,Historical,Trucks,EV,2011,0.003500000108033
3138,Europe,Historical,Cars,EV,2011,0.074000000953674
3139,Europe,Historical,Buses,EV,2011,0.050000000745058
3142,Europe,Historical,Vans,EV,2011,0.129999995231628
3172,Europe,Historical,Vans,EV,2012,0.430000007152557
3175,Europe,Historical,Buses,EV,2012,0.086999997496605
3176,Europe,Historical,Cars,EV,2012,0.200000002980232
3181,Europe,Historical,Trucks,EV,2012,0.003800000064075
3205,Europe,Historical,Trucks,EV,2013,0.005299999844283
3210,Europe,Historical,Cars,EV,2013,0.419999986886978
3211,Europe,Historical,Buses,EV,2013,0.140000000596046
3214,Europe,Historical,Vans,EV,2013,0.449999988079071
3256,Europe,Historical,Vans,EV,2014,0.479999989271164
3259,Europe,Historical,Buses,EV,2014,0.360000014305115
3260,Europe,Historical,Cars,EV,2014,0.660000026226044
3265,Europe,Historical,Trucks,EV,2014,0.009999999776483
3283,Europe,Historical,Trucks,EV,2015,0.006099999882281
3287,Europe,Historical,Cars,EV,2015,1.20000004768372
3288,Europe,Historical,Buses,EV,2015,0.170000001788139
3290,Europe,Historical,Vans,EV,2015,0.519999980926514
3344,Europe,Historical,Vans,EV,2016,0.589999973773956
3346,Europe,Historical,Buses,EV,2016,0.920000016689301
3347,Europe,Historical,Cars,EV,2016,1.20000004768372
3351,Europe,Historical,Trucks,EV,2016,0.012000000104308
3370,Europe,Historical,Trucks,EV,2017,0.009899999946356
3374,Europe,Historical,Cars,EV,2017,1.70000004768372
3375,Europe,Historical,Buses,EV,2017,0.569999992847443
3377,Europe,Historical,Vans,EV,2017,0.740000009536743
3434,Europe,Historical,Vans,EV,2018,1.10000002384186
3436,Europe,Historical,Buses,EV,2018,1.10000002384186
3437,Europe,Historical,Cars,EV,2018,2.29999995231628
3441,Europe,Historical,Trucks,EV,2018,0.07599999755621
3460,Europe,Historical,Trucks,EV,2019,0.159999996423721
3464,Europe,Historical,Cars,EV,2019,3.29999995231628
3465,Europe,Historical,Buses,EV,2019,2.79999995231628
3467,Europe,Historical,Vans,EV,2019,1.29999995231628
3551,Europe,Projection-STEPS,Buses,EV,2020,4.69999980926514
3552,Europe,Projection-STEPS,Vans,EV,2020,2.09999990463257
3554,Europe,Projection-STEPS,Cars,EV,2020,10.0
3557,Europe,Projection-STEPS,Trucks,EV,2020,0.239999994635582
3561,Europe,Historical,Vans,EV,2020,2.09999990463257
3563,Europe,Historical,Buses,EV,2020,4.69999980926514
3564,Europe,Historical,Cars,EV,2020,10.0
3565,Europe,Projection-APS,Buses,EV,2020,4.69999980926514
3568,Europe,Projection-APS,Vans,EV,2020,2.09999990463257
3570,Europe,Projection-APS,Cars,EV,2020,10.0
3571,Europe,Projection-APS,Trucks,EV,2020,0.239999994635582
3576,Europe,Historical,Trucks,EV,2020,0.239999994635582
3686,Europe,Historical,Trucks,EV,2021,0.349999994039536
3691,Europe,Projection-APS,Trucks,EV,2021,0.349999994039536
3692,Europe,Projection-APS,Cars,EV,2021,17.0
3694,Europe,Projection-APS,Vans,EV,2021,2.90000009536743
3697,Europe,Projection-APS,Buses,EV,2021,6.69999980926514
3698,Europe,Historical,Cars,EV,2021,17.0
3699,Europe,Historical,Buses,EV,2021,6.69999980926514
3701,Europe,Historical,Vans,EV,2021,2.90000009536743
3705,Europe,Projection-STEPS,Trucks,EV,2021,0.349999994039536
3708,Europe,Projection-STEPS,Cars,EV,2021,17.0
3710,Europe,Projection-STEPS,Vans,EV,2021,2.90000009536743
3711,Europe,Projection-STEPS,Buses,EV,2021,6.69999980926514
3824,Europe,Projection-STEPS,Buses,EV,2022,9.19999980926514
3825,Europe,Projection-STEPS,Vans,EV,2022,5.19999980926514
3827,Europe,Projection-STEPS,Cars,EV,2022,20.0
3830,Europe,Projection-STEPS,Trucks,EV,2022,0.709999978542328
3833,Europe,Historical,Vans,EV,2022,5.19999980926514
3835,Europe,Historical,Buses,EV,2022,9.19999980926514
